x_cm,Potential_V,Electrons_cm3,Holes_cm3
-1.0,-0.6576447899345236,9999.99999999,1.000000000001e+16
-0.9,-0.6576447899334759,9999.99999999,1.000000000001e+16
-0.8121621621621622,-0.6576447899325556,9999.99999999,1.000000000001e+16
-0.7350073046018992,-0.6576447899317472,9999.99999999,1.000000000001e+16
-0.6672361459341006,-0.6576447899310371,9999.99999999,1.000000000001e+16
-0.607707425482656,-0.6576447899304135,9999.99999999,1.000000000001e+16
-0.5554186845455762,-0.6576447899298656,9999.99999999,1.000000000001e+16
-0.5094893850738169,-0.6576447899293845,9999.99999999,1.000000000001e+16
-0.4691460814837581,-0.6576447899289618,9999.99999999,1.000000000001e+16
-0.4337093958978956,-0.6576447899285904,9999.99999999,1.000000000001e+16
-0.40258257747788123,-0.6576447899282644,9999.99999999,1.000000000001e+16
-0.37524145319003077,-0.6576447899279779,9999.999999989994,1.000000000001e+16
-0.351225600775027,-0.6576447899277262,9999.999999989957,1.000000000001e+16
-0.33013059527536154,-0.6576447899275053,9999.999999989726,1.000000000001e+16
-0.3116011985526824,-0.6576447899273111,9999.999999988559,1.000000000001e+16
-0.2953253771070859,-0.6576447899271406,9999.999999983585,1.000000000001e+16
-0.28102904745892676,-0.6576447899269908,9999.999999965677,1.000000000001e+16
-0.268471460605814,-0.6576447899268593,9999.999999910346,1.000000000001e+16
-0.25744114782943117,-0.6576447899267437,9999.999999761674,1.000000000001e+16
-0.25,-0.6576447899266658,9999.99999950984,1.000000000001e+16
-0.24,-0.657644789926561,9999.99999876703,1.000000000001e+16
-0.23020408163265305,-0.6576447899264584,9999.999996894236,1.000000000001e+16
-0.22060807996668053,-0.6576447899263578,9999.999992278006,1.000000000001e+16
-0.21120791506940134,-0.6576447899262593,9999.999981106435,1.000000000001e+16
-0.20199959027206663,-0.6576447899261628,9999.999954538578,1.000000000001e+16
-0.1929791904705959,-0.6576447899260683,9999.999892425678,1.000000000001e+16
-0.1841428804609919,-0.6576447899259757,9999.999749627395,1.000000000001e+16
-0.17548690330872677,-0.657644789925885,9999.999426699007,1.000000000001e+16
-0.16700757875140582,-0.6576447899257962,9999.998708151506,1.000000000001e+16
-0.15870130163403018,-0.6576447899257092,9999.997134555699,1.000000000001e+16
-0.15056454037619282,-0.6576447899256239,9999.993741895669,1.000000000001e+16
-0.14259383547055623,-0.6576447899255404,9999.986538844176,1.000000000001e+16
-0.13478579801197346,-0.6576447899254586,9999.971474859773,1.000000000001e+16
-0.12713710825662708,-0.6576447899253784,9999.940434479446,1.000000000001e+16
-0.11964451421057347,-0.6576447899253,9999.87739781082,1.000000000001e+16
-0.11230483024709238,-0.6576447899252231,9999.75119988038,1.000000000001e+16
-0.10511493575225377,-0.6576447899251477,9999.502075523867,1.000000000001e+16
-0.09807177379812614,-0.6576447899250739,9999.0170151094,1.000000000001e+16
