x_cm,Potential_V,Electrons_cm3,Holes_cm3
-1.0,-0.3576447899345236,9999.99999999,1.000000000001e+16
-0.9,-0.3576447899345236,9999.99999999,1.000000000001e+16
-0.8121621621621622,-0.3576447899345236,9999.999999990001,1.000000000001e+16
-0.7350073046018992,-0.3576447899345236,9999.999999990001,1.000000000001e+16
-0.6672361459341006,-0.3576447899345236,9999.999999990001,1.000000000001e+16
-0.607707425482656,-0.3576447899345236,9999.999999990001,1.000000000001e+16
-0.5554186845455762,-0.3576447899345236,9999.999999990001,1.000000000001e+16
-0.5094893850738169,-0.3576447899345236,9999.999999990001,1.000000000001e+16
-0.4691460814837581,-0.3576447899345236,9999.999999990001,1.000000000001e+16
-0.4337093958978956,-0.3576447899345236,9999.999999990001,1.000000000001e+16
-0.40258257747788123,-0.3576447899345236,9999.999999990001,1.000000000001e+16
-0.37524145319003077,-0.3576447899345236,9999.999999990001,1.000000000001e+16
-0.351225600775027,-0.3576447899345236,9999.999999990001,1.000000000001e+16
-0.33013059527536154,-0.3576447899345236,9999.999999990001,1.000000000001e+16
-0.3116011985526824,-0.3576447899345236,9999.999999990001,1.000000000001e+16
-0.2953253771070859,-0.3576447899345236,9999.999999990001,1.000000000001e+16
-0.28102904745892676,-0.3576447899345236,9999.999999990001,1.000000000001e+16
-0.268471460605814,-0.3576447899345236,9999.999999990001,1.000000000001e+16
-0.25744114782943117,-0.3576447899345236,9999.999999990001,1.000000000001e+16
-0.25,-0.3576447899345236,9999.999999990003,1.000000000001e+16
-0.24,-0.3576447899345236,9999.999999990005,1.000000000001e+16
-0.23020408163265305,-0.3576447899345236,9999.99999999001,1.000000000001e+16
-0.22060807996668053,-0.3576447899345236,9999.999999990023,1.000000000001e+16
-0.21120791506940134,-0.3576447899345236,9999.999999990054,1.000000000001e+16
-0.20199959027206663,-0.3576447899345236,9999.999999990128,1.000000000001e+16
-0.1929791904705959,-0.3576447899345236,9999.999999990301,1.000000000001e+16
-0.1841428804609919,-0.3576447899345236,9999.999999990701,1.000000000001e+16
-0.17548690330872677,-0.3576447899345236,9999.999999991605,1.000000000001e+16
-0.16700757875140582,-0.3576447899345236,9999.999999993615,1.000000000001e+16
-0.15870130163403018,-0.3576447899345236,9999.99999999802,1.000000000001e+16
-0.15056454037619282,-0.3576447899345236,10000.000000007512,1.000000000001e+16
-0.14259383547055623,-0.3576447899345236,10000.000000027669,1.000000000001e+16
-0.13478579801197346,-0.3576447899345236,10000.000000069822,1.000000000001e+16
-0.12713710825662708,-0.3576447899345236,10000.00000015668,1.000000000001e+16
-0.11964451421057347,-0.3576447899345236,10000.000000333073,1.000000000001e+16
-0.11230483024709238,-0.3576447899345236,10000.000000686206,1.000000000001e+16
-0.10511493575225377,-0.3576447899345236,10000.000001383321,1.000000000001e+16
-0.09807177379812614,-0.3576447899345236,10000.000002740644,1.000000000001e+16
-0.09117234984306234,-0.3576447899345236,10000.000005347925,1.000000000001e+16
-0.08441373045851006,-0.3576447899345236,10000.000010290176,1.000000000001e+16
-0.07779304208180578,-0.3576447899345236,10000.000019537172,1.000000000001e+16
-0.07130746979442198,-0.3576447899345236,10000.000036618423,1.000000000001e+16
-0.06495425612514807,-0.3576447899345236,10000.00006777754,1.000000000001e+16
-0.05873069987769608,-0.3576447899345236,10000.000123920912,1.000000000001e+16
