x_cm,Potential_V,Electrons_cm3,Holes_cm3
-1.0,-0.05764478993452363,9999.99999999,1.000000000001e+16
-0.9,-0.057644901178948195,9999.99999999,1.000000000001e+16
-0.8121621621621622,-0.057644998893645445,9999.99999999,1.000000000001e+16
-0.7350073046018992,-0.05764508472412276,9999.99999999,1.000000000001e+16
-0.6672361459341006,-0.057645160115758244,9999.99999999,1.000000000001e+16
-0.607707425482656,-0.05764522633814076,9999.99999999,1.000000000001e+16
-0.5554186845455762,-0.05764528450644973,9999.99999999,1.000000000001e+16
-0.5094893850738169,-0.05764533560023463,9999.99999999002,1.000000000001e+16
-0.4691460814837581,-0.05764538047991056,9999.999999990354,1.000000000001e+16
-0.4337093958978956,-0.057645419901247524,9999.999999995242,1.000000000001e+16
-0.40258257747788123,-0.057645454528097564,10000.000000051974,1.000000000001e+16
-0.37524145319003077,-0.057645484943573945,10000.00000058018,1.000000000001e+16
-0.351225600775027,-0.057645511659870766,10000.00000455898,1.000000000001e+16
-0.33013059527536154,-0.05764553512688825,10000.000029048293,1.000000000001e+16
-0.3116011985526824,-0.05764555573980901,10000.000153578341,1.000000000001e+16
-0.2953253771070859,-0.05764557384575292,10000.000683079084,1.000000000001e+16
-0.28102904745892676,-0.05764558974962257,10000.002589804586,1.000000000001e+16
-0.268471460605814,-0.057645603719237805,10000.008481658811,1.000000000001e+16
-0.25744114782943117,-0.05764561598984578,10000.024312645866,1.000000000001e+16
-0.25,-0.05764562426770786,10000.051128434203,1.000000000001e+16
-0.24,-0.05764563539215032,10000.130224367966,1.000000000001e+16
-0.23020408163265305,-0.05764564628956334,10000.329643539604,1.000000000001e+16
-0.22060807996668053,-0.05764565696458017,10000.821189267004,1.000000000001e+16
-0.21120791506940134,-0.057645667421739516,10002.010761203092,1.0000000000010002e+16
-0.20199959027206663,-0.05764567766548744,10004.839760801922,1.0000000000010004e+16
-0.1929791904705959,-0.05764568770017928,10011.453667871654,1.0000000000010012e+16
-0.1841428804609919,-0.05764569753008146,10026.659114375441,1.0000000000010026e+16
-0.17548690330872677,-0.057645707159373345,10061.045168073651,1.0000000000010062e+16
-0.16700757875140582,-0.057645716592148954,10137.557513913385,1.0000000000010138e+16
-0.15870130163403018,-0.057645725832418705,10305.11704834061,1.0000000000010306e+16
-0.15056454037619282,-0.05764573488411101,10666.37400700675,1.0000000000010666e+16
-0.14259383547055623,-0.05764574375107383,11433.368637801294,1.0000000000011434e+16
-0.13478579801197346,-0.057645752437076016,13037.410093594834,1.0000000000013038e+16
-0.12713710825662708,-0.057645760945808366,16342.64775696246,1.0000000000016342e+16
-0.11964451421057347,-0.05764576928088412,23054.908861668937,1.0000000000023054e+16
-0.11230483024709238,-0.05764577744583853,36492.69585076199,1.0000000000036492e+16
-0.10511493575225377,-0.057645785444126615,63019.90991958491,1.000000000006302e+16
-0.09807177379812614,-0.05764579327911789,114670.01619625848,1.000000000011467e+16
-0.09117234984306234,-0.05764580095408553,213884.63697006728,1.0000000000213884e+16
-0.08441373045851006,-0.05764580847218592,401951.6741892079,1.0000000000401952e+16
-0.07779304208180578,-0.0576458158364217,753826.6474801969,1.0000000000753826e+16
-0.07130746979442198,-0.057645823049576626,1403817.698349172,1.0000000001403818e+16
-0.06495425612514807,-0.05764583011410317,2589512.065472683,1.0000000002589512e+16
