x_cm,Potential_V,Electrons_cm3,Holes_cm3,NetDoping_cm3
-1.0,0.44235521006547657,9999.99999999,1.000000000001e+16,-1e+16
-0.9,0.4292193014732382,9999.99999999,1.000000000001e+16,-1e+16
-0.8121621621621622,0.4176810033854613,9999.99999999,1.000000000001e+16,-1e+16
-0.7350073046018992,0.4075460118218735,9999.99999999001,1.000000000001e+16,-1e+16
-0.6672361459341006,0.3986436543673707,9999.999999990428,1.000000000001e+16,-1e+16
-0.607707425482656,0.3908240160627398,10000.000000004226,1.000000000001e+16,-1e+16
-0.5554186845455762,0.38395541484921275,10000.000000366104,1.000000000001e+16,-1e+16
-0.5094893850738169,0.37792218405354705,10000.000007921517,1.000000000001e+16,-1e+16
-0.4691460814837581,0.3726227245708677,10000.000133790281,1.000000000001e+16,-1e+16
-0.4337093958978956,0.3679677939441899,10000.001812890981,1.000000000001e+16,-1e+16
-0.40258257747788123,0.3638790035288648,10000.019835540987,1.000000000001e+16,-1e+16
-0.37524145319003077,0.3602874984343225,10000.176443835358,1.000000000001e+16,-1e+16
-0.351225600775027,0.3571327980134408,10001.286492377838,1.0000000000010002e+16,-1e+16
-0.33013059527536154,0.35436177737347707,10007.761996882238,1.0000000000010008e+16,-1e+16
-0.3116011985526824,0.3519277727572928,10039.169587751014,1.000000000001004e+16,-1e+16
-0.2953253771070859,0.34978979572956376,10167.260678135006,1.0000000000010168e+16,-1e+16
-0.28102904745892676,0.3479118429349379,10611.864427584645,1.0000000000010612e+16,-1e+16
-0.268471460605814,0.3462622898045261,11941.882879515419,1.0000000000011942e+16,-1e+16
-0.25744114782943117,0.34481335800079305,15414.849033587612,1.0000000000015414e+16,-1e+16
-0.25,0.343835895623723,21177.097858853907,1.0000000000021178e+16,-1e+16
-0.24,0.3425223047645498,37764.19242057682,1.0000000000037764e+16,-1e+16
-0.23020408163265305,0.3412355218821691,78578.62706494716,1.0000000000078578e+16,-1e+16
-0.22060807996668053,0.3399749998751161,176784.63052980704,1.0000000000176784e+16,-1e+16
-0.21120791506940134,0.33874020280739553,408891.15514189715,1.0000000000408892e+16,-1e+16
-0.20199959027206663,0.3375306056807803,948225.5988997213,1.0000000000948226e+16,-1e+16
-0.1929791904705959,0.3363456942119486,2180808.6275080517,1.0000000002180808e+16,-1e+16
-0.1841428804609919,0.3351849646145741,4952153.12052071,1.0000000004952152e+16,-1e+16
-0.17548690330872677,0.3340479233866958,11084169.886628723,1.0000000011084168e+16,-1e+16
-0.16700757875140582,0.3329340871041189,24440114.99352329,1.000000002444011e+16,-1e+16
-0.15870130163403018,0.33184298222140757,53083406.34886402,1.0000000053083398e+16,-1e+16
-0.15056454037619282,0.33077414488357076,113584803.38149366,1.0000000113584784e+16,-1e+16
-0.14259383547055623,0.329727120754415,239482536.10433412,1.0000000239482496e+16,-1e+16
-0.13478579801197346,0.3287014648728113,497646077.6995603,1.0000000497645994e+16,-1e+16
-0.12713710825662708,0.32769674155766215,1019452591.4001329,1.0000001019452418e+16,-1e+16
-0.11964451421057347,0.3267125243993285,2059308964.8151312,1.0000002059308616e+16,-1e+16
-0.11230483024709238,0.3257483964050291,4102913123.636527,1.0000004102912428e+16,-1e+16
-0.10511493575225377,0.3248039504170853,8064677296.117079,1.0000008064675928e+16,-1e+16
-0.09807177379812614,0.3238787900102393,15642707502.099855,1.0000015642704848e+16,-1e+16
-0.09117234984306234,0.32297253122065683,29948303353.404312,1.0000029948298272e+16,-1e+16
-0.08441373045851006,0.3220848057009997,56607197708.35514,1.0000056607188108e+16,-1e+16
-0.07779304208180578,0.32121526628955516,105660494388.3522,1.000010566047647e+16,-1e+16
-0.07130746979442198,0.32036359661309965,194803286220.88614,1.0000194803253194e+16,-1e+16
-0.06495425612514807,0.3195295273425555,354831747042.97327,1.0000354831686898e+16,-1e+16
-0.05873069987769608,0.3187128632788663,638689903428.4523,1.00006386897952e+16,-1e+16
-0.0526341549822329,0.317913527840298,1136310675126.2642,1.000113631048265e+16,-1e+16
-0.046662029370350605,0.31713163514070614,1998671004759.3542,1.0001998670666406e+16,-1e+16
-0.04081178387299652,0.3163676052188421,3476328797409.7017,1.0003476328209426e+16,-1e+16
-0.035080931140894556,0.3156223457750212,5980469960606.992,1.0005980468950494e+16,-1e+16
-0.029467034586998755,0.3148975347583462,10178588999548.58,1.0010178587284248e+16,-1e+16
-0.0239677073505294,0.31419605296312875,17142982508137.406,1.0017142979629738e+16,-1e+16
-0.018580611282151254,0.3135226343387787,28579212780649.0,1.0028579208010296e+16,-1e+16
-0.013303455949862458,0.3128848216851714,47175142174206.34,1.0047175134374232e+16,-1e+16
-0.008133997665171394,0.3122943290403235,77131638277044.56,1.0077131625682716e+16,-1e+16
-0.003070038529147494,0.3117690380430926,124968597945815.67,1.0124913514649082e+16,-1e+16
0.0,0.4234695378140577,1.012031188689622e+16,120367370380716.1,1e+16
0.005,0.4230704108384356,1.0061410253781344e+16,61410245392938.0,1e+16
0.010104166666666666,0.4226982000057048,1.0030857280989088e+16,30857276687596.594,1e+16
0.015314670138888887,0.4223370616341564,1.0015278791739142e+16,15278789591572.031,1e+16
0.020633725766782404,0.4219781947999415,1.0007456053609452e+16,7456052557143.2295,1e+16
0.02606359505359037,0.4216168533119183,1.0003585940959062e+16,3585940451984.396,1e+16
0.03160658661720683,0.42125049554572785,1.0001699449576166e+16,1699449335651.8904,1e+16
0.03726505717173197,0.42087774680566786,1.0000793478482732e+16,793478370403.6703,1e+16
0.04304141252947639,0.42049783669406016,1.0000364905312656e+16,364905260997.49097,1e+16
0.04893810862384047,0.4201103013631782,1.000016524635789e+16,165246334498.76022,1e+16
0.054957652553503815,0.419714829016629,1.0000073667199196e+16,73667188771.01727,1e+16
0.061102603648368475,0.419311181128203,1.0000032321230662e+16,32321226089.46129,1e+16
0.06737557455770948,0.41889915291956925,1.0000013952496202e+16,13952494229.215275,1e+16
0.0737792323609951,0.41847855383729304,1.0000005924387416e+16,5924386578.674131,1e+16
0.08031629970184916,0.4180491980458722,1.0000002473651232e+16,2473650882.2658215,1e+16
0.08698955594563768,0.4176108998527847,1.0000001015341476e+16,1015341331.9642732,1e+16
0.09380183836117179,0.4171634715209332,1.000000040958094e+16,409580882.72593284,1e+16
0.10075604332702952,0.4167067222166675,1.0000000162330124e+16,162330100.7601919,1e+16
0.10785512756300929,0.4162404574881694,1.0000000063194154e+16,63194145.16865621,1e+16
0.11510210938723864,0.41576447898669644,1.0000000024159386e+16,24159382.564887706,1e+16
0.12250006999947277,0.41527858429651804,1.0000000009070134e+16,9070131.806067841,1e+16
0.13005215479112844,0.41478256681204834,1.00000000033455e+16,3345500.5055174595,1e+16
0.13776157468261027,0.41427621563449335,1.0000000001214626e+16,1214625.3387228788,1e+16
0.145631607488498,0.4137593154757685,1.0000000000436652e+16,436651.2579736378,1e+16
0.15366559931117502,0.41323164656436256,1.0000000000158146e+16,158145.62400191103,1e+16
0.16186696596349115,0.412692984550862,1.0000000000060416e+16,60415.40895166131,1e+16
0.17023919442106386,0.4121431004121604,1.000000000002681e+16,26809.686032111324,1e+16
0.17878584430483602,0.4115817603539304,1.000000000001549e+16,15489.594265312404,1e+16
0.18751054939452008,0.41100872571116337,1.0000000000011756e+16,11755.363742385214,1e+16
0.19641701917357257,0.4104237528466752,1.000000000001055e+16,10549.416429956435,1e+16
0.20550904040635531,0.40982659304751123,1.0000000000010168e+16,10168.26949211083,1e+16
0.21479047874815438,0.40921699241919834,1.000000000001005e+16,10050.413506345487,1e+16
0.2242652803887409,0.40859469177779567,1.0000000000010014e+16,10014.77349899304,1e+16
0.23393747373017298,0.4079594265396972,1.0000000000010004e+16,10004.24513239102,1e+16
0.24381117109955158,0.40731092660913826,1.0000000000010002e+16,10001.239419850202,1e+16
0.25,0.40690444715549123,1.000000000001e+16,10000.515936654112,1e+16
0.26,0.4062476517258783,1.000000000001e+16,10000.139580321902,1e+16
0.2713846153846154,0.4054999153906267,1.000000000001e+16,10000.032282045466,1e+16
0.28434556213017753,0.40464864633203257,1.000000000001e+16,10000.006301666936,1e+16
0.29910110150204827,0.4036795092499408,1.000000000001e+16,10000.001025662401,1e+16
0.315899715556178,0.4025761839564824,1.000000000001e+16,10000.000137614885,1e+16
0.3350242915562642,0.4013200905454683,1.000000000001e+16,10000.000015058764,1e+16
0.3567968857717469,0.39989007650831376,1.000000000001e+16,10000.000001324286,1e+16
0.38158414687860415,0.3982620605275532,1.000000000001e+16,10000.000000084816,1e+16
0.40980349029256474,0.3964086269494566,1.000000000001e+16,9999.999999995372,1e+16
0.44193012740999676,0.39429856410670044,1.000000000001e+16,9999.999999990241,1e+16
0.478505068128304,0.3918963387164857,1.000000000001e+16,9999.999999990008,1e+16
0.5201442314076077,0.38916149750301054,1.000000000001e+16,9999.99999999,1e+16
0.5675488172948149,0.38604798596766954,1.000000000001e+16,9999.99999999,1e+16
0.6215171150740969,0.3825033728351275,1.000000000001e+16,9999.99999999,1e+16
0.6829579463920488,0.3784679671150027,1.000000000001e+16,9999.99999999,1e+16
0.7529059697386401,0.3738738129105529,1.000000000001e+16,9999.99999999,1e+16
0.8325391040101441,0.36864354504702546,1.000000000001e+16,9999.99999999,1e+16
0.9231983645653947,0.36268908624854806,1.000000000001e+16,9999.99999999,1e+16
1.0,0.3576447899345236,1.000000000001e+16,9999.99999999,1e+16
