x,y,Potential,Electrons,Holes
0.0,0.0,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.0,0.05,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.05,0.0,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.05,0.05,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.0,0.1,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.05,0.1,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.0,0.15000000000000002,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.05,0.15000000000000002,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.0,0.2,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.05,0.2,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.0,0.25,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.05,0.25,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.0,0.3,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.05,0.3,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.0,0.35,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.05,0.35,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.0,0.39999999999999997,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.05,0.39999999999999997,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.0,0.44999999999999996,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.05,0.44999999999999996,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.0,0.5,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.05,0.5,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.09797979797979799,0.0,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.09797979797979799,0.05,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.09797979797979799,0.1,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.09797979797979799,0.15000000000000002,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.09797979797979799,0.2,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.09797979797979799,0.25,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.09797979797979799,0.3,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.09797979797979799,0.35,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.09797979797979799,0.39999999999999997,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.09797979797979799,0.44999999999999996,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.09797979797979799,0.5,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.14402101826344252,0.0,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.14402101826344252,0.05,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.14402101826344252,0.1,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.14402101826344252,0.15000000000000002,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.14402101826344252,0.2,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.14402101826344252,0.25,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.14402101826344252,0.3,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.14402101826344252,0.35,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.14402101826344252,0.39999999999999997,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.14402101826344252,0.44999999999999996,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.14402101826344252,0.5,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.18820198722249534,0.0,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.18820198722249534,0.05,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.18820198722249534,0.1,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.18820198722249534,0.15000000000000002,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.18820198722249534,0.2,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.18820198722249534,0.25,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.18820198722249534,0.3,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.18820198722249534,0.35,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.18820198722249534,0.39999999999999997,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.18820198722249534,0.44999999999999996,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.18820198722249534,0.5,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.23059786652663694,0.0,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.23059786652663694,0.05,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.23059786652663694,0.1,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.23059786652663694,0.15000000000000002,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.23059786652663694,0.2,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.23059786652663694,0.25,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.23059786652663694,0.3,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.23059786652663694,0.35,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.23059786652663694,0.39999999999999997,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.23059786652663694,0.44999999999999996,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.23059786652663694,0.5,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.2712807810104092,0.0,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.2712807810104092,0.05,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.2712807810104092,0.1,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.2712807810104092,0.15000000000000002,-0.35764323589921576,9999.99999999,1.000000000001e+16
